zip_code,distance,city,state
94923,95.387,"Bodega Bay","CA"
94972,90.327,"Valley Ford","CA"
94929,88.292,"Dillon Beach","CA"
95419,96.815,"Camp Meeker","CA"
94922,92.686,"Bodega","CA"
94937,80.281,"Inverness","CA"
94971,85.973,"Tomales","CA"
95436,99.185,"Forestville","CA"
94940,81.628,"Marshall","CA"
95444,95.007,"Graton","CA"
95472,92.843,"Sebastopol","CA"
94956,74.173,"Point Reyes Station","CA"
95492,99.132,"Windsor","CA"
95473,91.609,"Sebastopol","CA"
95401,93.703,"Santa Rosa","CA"
95439,95.839,"Fulton","CA"
94950,69.279,"Olema","CA"
94952,80.401,"Petaluma","CA"
95403,95.83,"Santa Rosa","CA"
95407,89.033,"Santa Rosa","CA"
94938,68.238,"Lagunitas","CA"
94924,63.856,"Bolinas","CA"
95406,91.701,"Santa Rosa","CA"
94931,84.096,"Cotati","CA"
94926,83.44,"Rohnert Park","CA"
94928,84.828,"Rohnert Park","CA"
95404,95.528,"Santa Rosa","CA"
94927,84.32,"Rohnert Park","CA"
94933,65.976,"Forest Knolls","CA"
94946,69.14,"Nicasio","CA"
94963,65.42,"San Geronimo","CA"
95405,89.506,"Santa Rosa","CA"
94970,59.5,"Stinson Beach","CA"
94951,81.974,"Penngrove","CA"
94975,81.75,"Petaluma","CA"
94999,81.75,"Petaluma","CA"
94973,64.276,"Woodacre","CA"
94947,69.533,"Novato","CA"
94953,77.919,"Petaluma","CA"
94930,59.861,"Fairfax","CA"
95402,89.896,"Santa Rosa","CA"
95409,89.386,"Santa Rosa","CA"
94978,60.473,"Fairfax","CA"
94960,61.274,"San Anselmo","CA"
94998,66.844,"Novato","CA"
94957,59.015,"Ross","CA"
94941,55.541,"Mill Valley","CA"
94904,57.953,"Greenbrae","CA"
94948,68.29,"Novato","CA"
94979,59.27,"San Anselmo","CA"
94954,74.431,"Petaluma","CA"
94903,62.002,"San Rafael","CA"
94955,73.329,"Petaluma","CA"
94965,52.667,"Sausalito","CA"
94913,61.378,"San Rafael","CA"
94974,57.509,"San Quentin","CA"
95452,85.629,"Kenwood","CA"
94939,56.539,"Larkspur","CA"
94914,56.62,"Kentfield","CA"
94977,56.078,"Larkspur","CA"
94945,67.575,"Novato","CA"
94942,54.138,"Mill Valley","CA"
94976,55.208,"Corte Madera","CA"
95431,80.387,"Eldridge","CA"
94038,37.633,"Moss Beach","CA"
94949,62.733,"Novato","CA"
94925,55.427,"Corte Madera","CA"
94912,57.297,"San Rafael","CA"
94915,56.181,"San Rafael","CA"
94901,57.685,"San Rafael","CA"
94037,37.722,"Montara","CA"
94121,46.907,"San Francisco","CA"
94964,55.549,"San Quentin","CA"
94966,50.955,"Sausalito","CA"
95442,81.174,"Glen Ellen","CA"
94116,45.057,"San Francisco","CA"
94122,45.655,"San Francisco","CA"
94132,43.879,"San Francisco","CA"
94015,41.889,"Daly City","CA"
94172,45.513,"San Francisco","CA"
95416,77.133,"Boyes Hot Springs","CA"
95433,75.881,"El Verano","CA"
94044,38.664,"Pacifica","CA"
94576,92.344,"Deer Park","CA"
94017,41.822,"Daly City","CA"
94018,34.748,"El Granada","CA"
94920,51.601,"Belvedere Tiburon","CA"
95476,73.039,"Sonoma","CA"
94129,46.791,"San Francisco","CA"
94118,45.852,"San Francisco","CA"
94144,45.74,"San Francisco","CA"
94127,43.558,"San Francisco","CA"
94013,41.478,"Daly City","CA"
94016,41.478,"Daly City","CA"
94119,45.378,"San Francisco","CA"
94143,44.371,"San Francisco","CA"
94159,45.378,"San Francisco","CA"
95487,72.689,"Vineburg","CA"
94014,40.941,"Daly City","CA"
94117,44.738,"San Francisco","CA"
94508,93.531,"Angwin","CA"
94112,42.145,"San Francisco","CA"
94131,43.347,"San Francisco","CA"
94123,46.024,"San Francisco","CA"
94115,45.205,"San Francisco","CA"
94114,43.713,"San Francisco","CA"
94066,37.465,"San Bruno","CA"
94146,43.117,"San Francisco","CA"
94147,45.688,"San Francisco","CA"
94573,85.585,"Rutherford","CA"
94080,38.294,"South San Francisco","CA"
94109,45.163,"San Francisco","CA"
94164,44.273,"San Francisco","CA"
94574,90.868,"Saint Helena","CA"
94102,44.232,"San Francisco","CA"
94110,42.562,"San Francisco","CA"
94134,41.046,"San Francisco","CA"
94019,30.999,"Half Moon Bay","CA"
94103,43.61,"San Francisco","CA"
94133,45.252,"San Francisco","CA"
94083,37.102,"South San Francisco","CA"
94101,43.404,"San Francisco","CA"
94106,43.404,"San Francisco","CA"
94135,43.404,"San Francisco","CA"
94136,43.404,"San Francisco","CA"
94140,42.372,"San Francisco","CA"
94141,42.884,"San Francisco","CA"
94142,43.926,"San Francisco","CA"
94150,43.404,"San Francisco","CA"
94152,43.404,"San Francisco","CA"
94153,43.404,"San Francisco","CA"
94154,43.404,"San Francisco","CA"
94155,43.404,"San Francisco","CA"
94171,43.404,"San Francisco","CA"
94175,43.404,"San Francisco","CA"
94199,43.404,"San Francisco","CA"
94005,39.301,"Brisbane","CA"
94108,44.502,"San Francisco","CA"
94030,35.001,"Millbrae","CA"
94104,44.253,"San Francisco","CA"
94107,42.536,"San Francisco","CA"
94120,44.097,"San Francisco","CA"
94137,44.097,"San Francisco","CA"
94138,44.097,"San Francisco","CA"
94139,44.097,"San Francisco","CA"
94145,44.097,"San Francisco","CA"
94156,43.563,"San Francisco","CA"
94160,39.974,"San Francisco","CA"
94161,44.097,"San Francisco","CA"
94162,43.563,"San Francisco","CA"
94163,43.563,"San Francisco","CA"
94562,82.519,"Oakville","CA"
94111,44.559,"San Francisco","CA"
94105,43.873,"San Francisco","CA"
94126,43.762,"San Francisco","CA"
94151,43.762,"San Francisco","CA"
94177,43.762,"San Francisco","CA"
94158,42.473,"San Francisco","CA"
94128,35.466,"San Francisco","CA"
94124,40.28,"San Francisco","CA"
94801,52.78,"Richmond","CA"
94125,40.235,"San Francisco","CA"
94188,40.751,"San Francisco","CA"
94130,44.763,"San Francisco","CA"
94010,32.234,"Burlingame","CA"
94599,81.178,"Yountville","CA"
94802,50.534,"Richmond","CA"
94807,49.938,"Richmond","CA"
94402,29.46,"San Mateo","CA"
94074,24.846,"San Gregorio","CA"
94804,49.498,"Richmond","CA"
94011,31.091,"Burlingame","CA"
94808,50.272,"Richmond","CA"
94806,53.287,"San Pablo","CA"
94805,50.6,"Richmond","CA"
94497,29.8,"San Mateo","CA"
94850,47.989,"Richmond","CA"
94401,30.384,"San Mateo","CA"
94559,68.721,"Napa","CA"
94625,41.736,"Oakland","CA"
94710,45.394,"Berkeley","CA"
94403,28.251,"San Mateo","CA"
94607,41.9,"Oakland","CA"
94002,27.008,"Belmont","CA"
94530,48.676,"El Cerrito","CA"
94062,23.65,"Redwood City","CA"
94706,46.658,"Albany","CA"
94615,41.144,"Oakland","CA"
94623,41.144,"Oakland","CA"
94662,43.511,"Emeryville","CA"
94820,51.47,"El Sobrante","CA"
94608,43.308,"Emeryville","CA"
94702,44.966,"Berkeley","CA"
94803,50.671,"El Sobrante","CA"
94564,52.813,"Pinole","CA"
94021,21.453,"Loma Mar","CA"
94581,71.941,"Napa","CA"
94707,46.754,"Berkeley","CA"
94501,39.281,"Alameda","CA"
94592,58.812,"Vallejo","CA"
94703,44.57,"Berkeley","CA"
94060,21.241,"Pescadero","CA"
94070,25.121,"San Carlos","CA"
94660,39.982,"Oakland","CA"
94701,44.186,"Berkeley","CA"
94612,41.081,"Oakland","CA"
94404,27.392,"San Mateo","CA"
94709,45.289,"Berkeley","CA"
